id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
BR020212,CN(C)c1ccc(/C=N/Nc2nc(-c3ccccc3)cs2)cc1,322.437,40.519999999999996,4,1,4.322100000000003,5,3
BR010053,CC(=O)NC[C@H]1O[C@H](OC[C@@H]2O[C@H]2CNC(=O)OC(C)(C)C)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,531.5590000000003,180.11999999999998,14,3,-0.4757999999999931,10,2
V1_5_542,CC1C(=O)CC[C@H]2[C@]3(C)CC[C@@]4(C)[C@@H]5C[C@](C)(CO)CC[C@]5(CO)CC[C@]4(C)[C@H]3CC[C@]12C,458.7270000000004,57.53,3,2,6.4018000000000095,2,5
V1_5_718,C=CCc1cc(OC)c(O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1NC(=O)c1ccccc1,613.6160000000002,161.99,13,1,3.137900000000001,12,3
BR020326,CO[C@H]1O[C@@H]2CO[C@H](c3ccccc3)O[C@H]2[C@H](OC)[C@H]1OC,310.34600000000006,55.38000000000001,6,0,1.5019,4,3
V1_5_920,C=CCN(CC=C)c1ccc(Cl)cc1,207.704,3.24,1,0,3.5184000000000024,5,1
BR020130,O=C(NCCO)c1ccc(CCl)c([N+](=O)[O-])c1,258.66099999999994,92.47,6,2,1.0557,5,1
BR020235,COC(=O)c1ccc(CBr)c([N+](=O)[O-])c1,274.07,69.44,5,0,2.276300000000001,3,1
BR020117,O=C(NCc1cn(CC(=O)N2CCOCC2)nn1)c1ccc(-c2ccc(Br)cc2)o1,474.3150000000001,102.49000000000001,9,1,2.0894000000000004,6,4
V1_5_886,O=C(c1cc2ccccc2o1)N1CCN(c2ccccc2)CC1,306.36500000000007,36.690000000000005,4,0,3.3952000000000018,2,4
BR010183,C=C(C)C=Cc1c(OCc2cn([C@@H]3O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)nn2)c(O)c2ccccc2c1O,653.6410000000003,194.82999999999998,15,2,3.2664000000000013,11,4
BR010145,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(NC(C)=O)c1,371.3420000000001,154.78,10,5,-1.3897000000000004,5,2
BR010418,CC(C)(C)OC(=O)N1[C@H](COc2ccc([N+](=O)[O-])cc2)COC1(C)C,352.3870000000001,91.14,8,0,3.345600000000002,4,2
BR020253,COc1ccc(-c2ccc(-c3ccc(OC)cc3)o2)cc1,280.323,31.6,3,0,4.630800000000003,4,3
BR020402,O=C(CCl)N1CCOCC1,163.60399999999998,29.540000000000003,3,0,0.08400000000000007,1,1
BR010222,CC(=O)OC[C@H]1O[C@H](OC(C)=O)[C@H](N=C2CC(=O)c3ccccc3C2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,503.46000000000026,160.92999999999998,12,0,0.9797999999999993,6,3
BR010419,CC(C)(C)OC(=O)N1[C@H](COc2ccccc2)COC1(C)C,307.39000000000004,48.0,5,0,3.437400000000002,3,2
BR010097,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](OCc3nn[nH]n3)[C@H]2O)c([N+](=O)[O-])c1,441.3530000000002,212.28,15,4,-1.7022999999999986,8,3
BR020236,CC(=O)OCc1ccc(C(=O)NC(C)C)cc1[N+](=O)[O-],280.28000000000003,98.54,7,1,1.7960999999999998,5,1
