id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount,Lipinski
leonardo_43,O=C(O)CSc1cccc(Cl)n1,203.65,50.19,3,1,1.9117,3,1,1
CHEMBL427419,CCCCCOc1c(OC)cc(N(C)CCCNC(=O)NC(Cc2ccc(O)cc2)C(=O)O)c2nccc(CC)c12,566.6990000000001,133.25,10,4,4.901800000000003,16,3,0
CHEMBL4130119,C[n+]1cc2ccccc2c2cc(-c3ccc(C(F)(F)F)cc3)ccc21,338.352,3.88,1,0,5.503300000000003,1,4,0
philipe_S24,CC(=O)OC1C(C)OC(n2cc(CC3C(=O)C(=O)c4ccccc4C3=O)nn2)C(OC(C)=O)C1OC(C)=O,527.4860000000002,170.04999999999998,13,0,0.7974999999999997,6,4,0
philipe_S20,CCCNC(=O)c1ccc(OC[C@@H]2COC(C)(C)N2C(=O)OC(C)(C)C)cc1,392.4960000000001,77.10000000000001,7,1,3.577200000000002,6,2,1
CHEMBL572122,Oc1c(Br)cc(Br)cc1Oc1cc(Br)c(Br)c(Br)c1O,596.6890000000001,49.69,3,2,6.702600000000003,2,2,0
CHEMBL2370740,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)C2Cc3c([nH]c4ccccc34)CN2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1804.9350000000004,715.85,45,26,-4.36079999999999,37,7,0
CHEMBL148503,Oc1c(Br)cc(Br)cc1Oc1c(Br)cc(Br)c(Br)c1O,596.6890000000001,49.69,3,2,6.702600000000003,2,2,0
CHEMBL1813399,CCCCOc1ccc2cc(S(=O)(=O)Nc3ccc(O)cc3C(=O)O)ccc2c1,415.46700000000016,112.93000000000002,7,3,4.223300000000003,8,3,1
CHEMBL4537408,O=c1ccc2ncc(=O)n3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,448.5270000000003,94.28,9,1,1.0870999999999995,5,6,1
CHEMBL4787304,Cc1ccc(C2=NOC(COc3ccc(F)c(C(N)=O)c3F)C2)cc1,346.3330000000001,73.91,5,2,2.9441200000000007,5,3,1
CHEMBL4579859,CCCCCCCCCCSC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2N)[C@H](O)[C@@H](N)[C@@H]1O,640.8410000000001,262.38000000000005,14,14,-2.4097999999999913,16,3,0
