id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
NuBBE_1260_obabel_3D.mol2,C=C(C)[C@H](CC=C(C)C)C[C@@]1(CC=C(C)C)C(=O)C([C@@H](CCC)CC(=O)OC)=C2O[C@H](C)C(C)C(=O)C2=C1OC,554.7680000000004,78.90000000000002,6,0,7.608400000000009,13,2
NuBBE_1666_obabel_3D.mol2,COc1ccc(C[C@H](C)C(C)C(=O)c2ccc3c(c2)OCO3)cc1OC,356.4180000000001,53.99000000000001,5,0,4.130100000000003,7,3
NuBBE_2260_obabel_3D.mol2,Cc1ccc(C)c2cc(C(C)(C)O)c(O)cc12,230.307,40.46,2,2,3.3896400000000027,1,2
NuBBE_2227_obabel_3D.mol2,COc1cccc2c1-c1c3c(cc4ccnc(c14)C2=O)OCO3,305.2890000000001,57.650000000000006,5,0,3.183500000000002,1,5
NuBBE_2061_obabel_3D.mol2,COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CC[N@+]3([O-])C[C@@H]2O,345.3950000000001,70.98,6,1,2.1756000000000006,3,4
NuBBE_537_obabel_3D.mol2,O=C1C=CC[C@H](C[C@@H](O)C[C@@H](O)/C=C/c2ccccc2)O1,288.343,66.76,4,2,2.0735,6,2
NuBBE_1585_obabel_3D.mol2,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc3c(c2)OCO3)ccc1OCCC=C(C)C,438.52000000000027,55.38000000000001,6,0,5.234200000000005,7,5
NuBBE_159_obabel_3D.mol2,COC(=O)c1cc2c(c(OC(C)=O)c1)OC(C)(C)C=C2,276.28799999999995,61.83,5,0,2.582700000000001,2,2
NuBBE_1506_obabel_3D.mol2,CSC1NC(=O)[C@](Cc2ccc(OCC=C(C)C)cc2)(SC)NC1=O,380.535,67.43,5,2,2.5685000000000002,7,2
NuBBE_196_obabel_3D.mol2,COc1cc(C(=O)O)ccc1O,168.148,66.76,4,2,1.0989999999999998,2,1
NuBBE_1016_obabel_3D.mol2,COc1ccc(CCC(=O)O)c2c1C=CC(C)(C)O2,262.305,55.760000000000005,4,1,2.896600000000001,4,2
